LocalTime;T;Po;P;Pa;U;DD
10.10.2020 15:00;25.4;760.6;761.8;-0.4;59;Ветер
10.10.2020 12:00;26;761;762.3;0;32;Ветер
10.10.2020 09:00;20;761;762.4;0.4;40;Ветер
10.10.2020 06:00;15.2;760.6;762;0.4;56;Ветер
10.10.2020 03:00;17;760.2;761.5;-0.7;53;Ветер
10.10.2020 00:00;16.6;760.9;762.3;-0.1;65;Ветер
09.10.2020 21:00;18.6;761;762.4;0.4;81;Ветер
09.10.2020 18:00;24.2;760.6;761.9;-0.5;71;Ветер
09.10.2020 15:00;28.6;761.1;762.4;-0.5;63;Ветер
09.10.2020 12:00;27.6;761.6;762.9;-0.3;55;Ветер
09.10.2020 09:00;20.4;761.9;763.3;0.6;48;Ветер
09.10.2020 06:00;14.3;761.3;762.7;0;61;Ветер
09.10.2020 03:00;16.6;761.3;762.7;-0.2;56;Ветер
09.10.2020 00:00;17.6;761.5;762.9;0;54;Ветер
08.10.2020 21:00;18;761.5;762.9;-0.2;75;Ветер
08.10.2020 18:00;21.8;761.7;763;-0.7;72;Ветер
08.10.2020 15:00;24.8;762.4;763.7;-0.6;57;Ветер
08.10.2020 12:00;24.2;763;764.2;-0.2;53;Ветер
08.10.2020 09:00;20.1;763.2;764.5;-0.2;52;Ветер
08.10.2020 06:00;14.4;763.4;764.8;0.1;80;Ветер
08.10.2020 03:00;16.1;763.3;764.6;0;74;Ветер
08.10.2020 00:00;16;763.3;764.7;0;77;Ветер
07.10.2020 21:00;17.6;763.3;764.7;0.4;72;Ветер
07.10.2020 18:00;21.4;762.9;764.2;0;75;Ветер
07.10.2020 15:00;23.7;762.9;764.2;-0.7;60;Ветер
07.10.2020 12:00;23.6;763.6;764.8;0.3;56;Ветер
07.10.2020 09:00;20.3;763.3;764.7;0.1;59;Ветер
07.10.2020 06:00;15.4;763.2;764.5;0.2;79;Ветер
07.10.2020 03:00;16.3;763;764.3;-0.3;80;Ветер
07.10.2020 00:00;16.9;763.3;764.7;-0.1;81;Ветер
06.10.2020 21:00;19.2;763.4;764.8;-0.5;73;Ветер
06.10.2020 18:00;22.6;763.9;765.4;-0.3;53;Ветер
06.10.2020 15:00;23.6;764.2;765.4;-0.6;51;Ветер
06.10.2020 12:00;23;764.8;766;-0.2;54;Ветер
06.10.2020 09:00;20.8;765;766.3;0.1;58;Ветер
06.10.2020 06:00;14.6;764.9;766.3;-0.2;84;Ветер
06.10.2020 03:00;16.2;765.1;766.4;0.3;89;Ветер
06.10.2020 00:00;18.7;764.8;766.2;-0.3;80;Ветер
05.10.2020 21:00;19;765.1;766.4;0.8;77;Ветер
05.10.2020 18:00;20.2;764.3;765.7;0.4;78;Ветер
05.10.2020 15:00;23.8;763.9;765.1;0;64;Ветер
05.10.2020 12:00;23.8;763.9;765.1;0;62;Ветер
05.10.2020 09:00;20.7;763.9;765.3;0.5;88;Ветер
05.10.2020 06:00;17;763.4;764.8;0.2;92;Ветер
05.10.2020 03:00;17.6;763.2;764.5;-0.2;92;Ветер
05.10.2020 00:00;18.2;763.4;764.8;0.3;91;Ветер
04.10.2020 21:00;19;763.1;764.5;0.4;92;Ветер
04.10.2020 18:00;21.9;762.7;763.9;0.1;94;Ветер
04.10.2020 15:00;24;762.6;763.9;-0.4;90;Ветер
04.10.2020 12:00;24.2;763;764.7;-0.4;87;Ветер
04.10.2020 09:00;20.6;763.4;764.8;0.2;86;Ветер
04.10.2020 06:00;16.2;763.2;764.5;0;87;Ветер
04.10.2020 03:00;16.8;763.2;764.5;0.2;86;Ветер
04.10.2020 00:00;17.4;763;764.4;-0.1;88;Ветер
03.10.2020 21:00;18.4;763.1;764.4;0.4;89;Ветер
03.10.2020 18:00;12.8;762.7;764;-0.8;;Ветер
03.10.2020 15:00;24;763.5;764.8;-0.1;73;Ветер
03.10.2020 12:00;23.6;763.6;764.8;-0.1;63;Ветер
03.10.2020 09:00;20.5;763.7;765.1;0.5;68;Ветер
03.10.2020 06:00;15.2;763.2;764.5;0.5;89;Ветер
03.10.2020 03:00;15.8;762.7;764;0.4;91;Ветер
03.10.2020 00:00;17.2;762.3;763.6;0.3;92;Ветер
02.10.2020 21:00;16.7;762;763.3;1.3;97;Ветер
02.10.2020 18:00;17.2;760.7;762.1;1.4;97;Ветер
02.10.2020 15:00;21.2;759.3;760.6;0.3;64;Ветер
02.10.2020 12:00;22.8;759;760.3;1.3;66;Ветер
02.10.2020 09:00;22;757.7;759;-0.7;69;Ветер
02.10.2020 06:00;18.6;758.4;759.7;0.2;84;Ветер
02.10.2020 03:00;18.8;758.2;759.6;0.8;84;Ветер
02.10.2020 00:00;19.2;757.4;758.8;1.1;84;Ветер
01.10.2020 21:00;19.7;756.3;757.6;0.8;88;Ветер
01.10.2020 18:00;23;755.5;756.7;0;71;Ветер
01.10.2020 15:00;24.8;755.5;756.7;1.8;64;Ветер
01.10.2020 12:00;25.8;753.7;755;-0.8;58;Ветер
01.10.2020 09:00;19.8;754.5;755.8;-0.1;78;Ветер
01.10.2020 06:00;19;754.6;756;-0.4;84;Ветер
01.10.2020 03:00;19.2;755;756.4;-1.4;87;Ветер
01.10.2020 00:00;21;756.4;757.8;1.2;73;Ветер
30.09.2020 21:00;20.8;755.2;756.5;0.6;75;Ветер
30.09.2020 18:00;24.7;754.6;755.8;0.6;59;Ветер
30.09.2020 15:00;25.8;754;755.3;0.3;55;Ветер
30.09.2020 12:00;26.6;753.7;755;0.3;47;Ветер
30.09.2020 09:00;24;753.4;754.7;-0.3;57;Ветер
30.09.2020 06:00;19.7;753.7;754.9;-0.6;69;Ветер
30.09.2020 03:00;19.2;754.3;755.7;-1;79;Ветер
30.09.2020 00:00;20.4;755.3;756.7;-1.1;75;Ветер
29.09.2020 21:00;21;756.4;757.8;-0.9;76;Ветер
29.09.2020 18:00;24.8;757.3;758.5;-1.7;66;Ветер
29.09.2020 15:00;27.3;759;760.3;-1.4;58;Ветер
29.09.2020 12:00;26.4;760.4;761.7;-0.6;59;Ветер
29.09.2020 09:00;24.7;761;762.3;-0.4;61;Ветер
29.09.2020 06:00;20.2;761.4;762.7;-0.4;79;Ветер
29.09.2020 03:00;21.2;761.8;763.1;-0.6;81;Ветер
29.09.2020 00:00;21.6;762.4;763.7;0.1;87;Ветер
28.09.2020 21:00;23.9;762.3;763.6;0.1;90;Ветер
28.09.2020 18:00;25;762.2;763.5;-0.5;83;Ветер
28.09.2020 15:00;26.8;762.7;764;-0.6;71;Ветер
28.09.2020 12:00;26.8;763.3;764.6;0;74;Ветер
28.09.2020 09:00;25.8;763.3;764.6;0.8;51;Ветер
28.09.2020 06:00;20.8;762.5;763.9;0.4;65;Ветер
28.09.2020 03:00;20.2;762.1;763.4;0.9;71;Ветер
28.09.2020 00:00;21;761.2;762.6;0.6;75;Штиль
27.09.2020 21:00;21.9;760.6;761.9;1.3;72;Ветер
27.09.2020 18:00;27;759.3;760.6;0.7;55;Ветер
27.09.2020 15:00;28.7;758.6;764.4;0.3;47;Ветер
27.09.2020 12:00;28;758.3;759.6;0.5;56;Ветер
27.09.2020 09:00;24.9;757.8;759.1;0.9;52;Ветер
27.09.2020 06:00;19;756.9;758.2;0.5;73;Ветер
27.09.2020 03:00;20.2;756.4;757.7;0;79;Ветер
27.09.2020 00:00;20.8;756.4;757.7;0.6;75;Ветер
26.09.2020 21:00;21.8;755.8;757.1;0.3;80;Ветер
26.09.2020 18:00;24.9;755.5;756.8;-0.9;73;Ветер
26.09.2020 15:00;27;756.4;757.7;0.8;74;Ветер
26.09.2020 12:00;26.9;755.6;756.9;0.3;73;Ветер
26.09.2020 09:00;25.1;755.3;756.6;0.2;70;Ветер
26.09.2020 06:00;21.6;755.1;756.4;0;75;Ветер
26.09.2020 03:00;21.8;755.1;756.4;-0.5;76;Ветер
26.09.2020 00:00;20.5;755.6;757;0.7;82;Ветер
25.09.2020 21:00;21.8;754.9;756.1;-0.4;81;Ветер
25.09.2020 18:00;25.2;755.3;756.6;-0.7;82;Ветер
25.09.2020 15:00;27.6;756;757.3;-1;69;Ветер
25.09.2020 12:00;26.6;757;758.2;-0.3;77;Ветер
25.09.2020 09:00;24.1;757.3;758.5;-0.4;68;Ветер
25.09.2020 06:00;19.4;757.7;759.1;-0.6;79;Ветер
25.09.2020 03:00;19.8;758.3;759.7;-0.3;83;Ветер
25.09.2020 00:00;20.2;758.6;760;0.2;84;Ветер
24.09.2020 21:00;21.6;758.4;759.7;0.1;83;Ветер
24.09.2020 18:00;24.6;758.3;759.6;-0.3;85;Ветер
24.09.2020 15:00;26.6;758.6;759.9;-0.8;75;Ветер
24.09.2020 12:00;26.4;759.4;760.7;0.1;66;Ветер
24.09.2020 09:00;24.9;759.3;760.6;-0.2;64;Ветер
24.09.2020 06:00;18.8;759.5;760.9;0.1;83;Штиль
24.09.2020 03:00;19.4;759.4;760.7;0.3;82;Ветер
24.09.2020 00:00;20;759.1;760.4;-0.3;71;Ветер
23.09.2020 21:00;21.5;759.4;760.6;0.3;78;Ветер
23.09.2020 18:00;24.6;759.1;760.4;-0.3;80;Ветер
23.09.2020 15:00;26.6;759.4;760.7;-0.6;77;Ветер
23.09.2020 12:00;27.2;760;761.3;-0.7;64;Ветер
23.09.2020 09:00;24.8;760.7;762;-0.1;61;Ветер
23.09.2020 06:00;19.3;760.8;762.1;-0.3;75;Ветер
23.09.2020 03:00;19.5;761.1;762.4;-0.4;80;Ветер
23.09.2020 00:00;20.4;761.5;762.9;-0.3;80;Ветер
22.09.2020 21:00;21;761.8;763.1;0.3;81;Ветер
22.09.2020 18:00;24.6;761.5;762.8;0;72;Ветер
22.09.2020 15:00;27.1;761.5;762.8;-0.3;55;Ветер
22.09.2020 12:00;27.1;761.5;762.8;-0.1;55;Ветер
22.09.2020 09:00;23.7;761.6;762.9;0.7;43;Ветер
22.09.2020 06:00;18.6;760.9;762.3;0;61;Ветер
22.09.2020 03:00;19;760.9;762.3;0.1;63;Ветер
22.09.2020 00:00;19.6;760.8;762.1;0.5;66;Ветер
21.09.2020 21:00;19.9;760.3;761.7;0.4;71;Ветер
21.09.2020 18:00;24.5;759.9;761.2;-0.1;56;Ветер
21.09.2020 15:00;25.3;760;761.3;-0.9;58;Ветер
21.09.2020 12:00;24.8;760.9;762.1;-0.8;56;Ветер
21.09.2020 09:00;22.9;761.7;763;0.3;49;Ветер
21.09.2020 06:00;15.7;761.4;762.7;0.2;74;Ветер
21.09.2020 03:00;16.6;761.2;762.5;0;76;Ветер
21.09.2020 00:00;16.6;761.2;762.5;-0.2;89;Ветер
20.09.2020 21:00;18;761.4;762.7;0.4;84;Ветер
20.09.2020 18:00;21.6;761;762.3;-0.4;66;Ветер
20.09.2020 15:00;23.2;761.4;762.7;-0.4;59;Ветер
20.09.2020 12:00;23.5;761.8;763.1;-0.3;60;Ветер
20.09.2020 09:00;21.1;762.1;763.5;0.2;59;Ветер
20.09.2020 06:00;16.8;761.9;763.3;0.1;76;Ветер
20.09.2020 03:00;17.2;761.8;763.1;0;78;Ветер
20.09.2020 00:00;17;761.8;763.1;0;79;Ветер
19.09.2020 21:00;18.2;761.8;763.2;0.7;75;Ветер
19.09.2020 18:00;22;761.1;762.4;0.1;55;Ветер
19.09.2020 15:00;22.6;761;762.3;0.2;48;Ветер
19.09.2020 12:00;23;760.8;762.1;0.8;42;Ветер
19.09.2020 09:00;22.6;760;761.3;0.9;60;Ветер
19.09.2020 06:00;18.5;759.1;760.5;0.2;90;Штиль
19.09.2020 03:00;19.4;758.9;760.3;0.1;88;Ветер
19.09.2020 00:00;21.6;758.8;760;-0.3;91;Ветер
18.09.2020 21:00;23.5;759.1;760.4;0.3;77;Ветер
18.09.2020 18:00;25.1;758.8;760;0;69;Ветер
18.09.2020 15:00;27.1;758.8;760;-0.1;65;Ветер
18.09.2020 12:00;26.5;758.9;760.2;0.7;66;Ветер
18.09.2020 09:00;27.2;758.2;759.4;0.9;49;Ветер
18.09.2020 06:00;25;757.3;758.5;-0.5;60;Ветер
18.09.2020 03:00;22.5;757.8;759.1;-0.1;74;Ветер
18.09.2020 00:00;25.4;757.9;759.1;0.2;69;Ветер
17.09.2020 21:00;23.9;757.7;759;0.4;72;Ветер
17.09.2020 18:00;26.9;757.3;758.6;-0.9;70;Ветер
17.09.2020 15:00;27.4;758.2;759.5;-1.6;69;Ветер
17.09.2020 12:00;27.3;759.8;761.1;-0.6;71;Ветер
17.09.2020 09:00;26.4;760.4;761.7;-0.2;50;Ветер
17.09.2020 06:00;22;760.6;761.9;-0.1;63;Ветер
17.09.2020 03:00;22.6;760.7;762;-0.3;73;Ветер
17.09.2020 00:00;22.2;761;762.3;0;87;Ветер
16.09.2020 21:00;23.8;761;762.3;0.1;85;Ветер
16.09.2020 18:00;26.2;760.9;762.2;-0.8;75;Ветер
16.09.2020 15:00;27.8;761.7;763;-0.5;69;Ветер
16.09.2020 12:00;28;762.2;763.5;-0.4;60;Ветер
16.09.2020 09:00;25.8;762.6;763.9;0.8;56;Ветер
16.09.2020 06:00;21.6;761.8;763.1;0;74;Ветер
16.09.2020 03:00;22;761.8;763.1;0;86;Ветер
16.09.2020 00:00;23.5;761.8;763.1;-0.4;85;Ветер
15.09.2020 21:00;22;761.8;763.1;0.1;86;Ветер
15.09.2020 18:00;26.3;761.7;763;-0.7;77;Ветер
15.09.2020 15:00;28.3;762.4;763.6;-0.4;70;Ветер
15.09.2020 12:00;27.5;762.8;764.1;-0.2;73;Ветер
15.09.2020 09:00;26.8;763;764.2;0.5;72;Ветер
15.09.2020 06:00;22.5;762.5;763.8;0.1;92;Ветер
15.09.2020 03:00;23.2;762.4;763.6;0;93;Штиль
15.09.2020 00:00;25.2;762.4;763.6;0.4;82;Штиль
14.09.2020 21:00;25.8;762;763.3;0.5;81;Ветер
14.09.2020 18:00;26.8;761.5;762.8;-0.2;79;Ветер
14.09.2020 15:00;28.2;761.7;763;-0.2;73;Ветер
14.09.2020 12:00;27.8;761.9;763.2;0.1;73;Ветер
14.09.2020 09:00;26.8;761.8;763.1;1.1;67;Ветер
14.09.2020 06:00;21.4;760.7;762.1;0.4;71;Ветер
14.09.2020 03:00;21.8;760.3;761.6;-0.1;75;Ветер
14.09.2020 00:00;21.9;760.4;761.7;0.7;83;Ветер
13.09.2020 21:00;23.5;759.7;760.9;0.4;76;Ветер
13.09.2020 18:00;26.9;759.3;760.6;-0.4;77;Ветер
13.09.2020 15:00;28.6;759.7;760.9;-1.1;62;Ветер
13.09.2020 12:00;28.4;760.8;762.1;0.2;51;Ветер
13.09.2020 09:00;26.2;760.6;761.9;0.2;86;Ветер
13.09.2020 06:00;19.4;760.4;761.8;-0.2;92;Штиль
13.09.2020 03:00;21.5;760.6;761.9;-0.3;91;Ветер
13.09.2020 00:00;22.6;760.9;762.1;0.9;90;Ветер
12.09.2020 21:00;24.2;760;761.3;0.3;91;Штиль
12.09.2020 18:00;26.6;759.7;761;-0.3;90;Ветер
12.09.2020 15:00;28.6;760;761.2;-0.9;85;Ветер
12.09.2020 12:00;28.2;760.9;762.2;0;78;Ветер
12.09.2020 09:00;26.8;760.9;762.2;0.7;67;Ветер
12.09.2020 06:00;21;760.2;761.5;0.8;82;Ветер
12.09.2020 03:00;21.6;759.4;760.6;0;85;Ветер
12.09.2020 00:00;22.2;759.4;760.6;0.4;84;Ветер
11.09.2020 21:00;23.5;759;760.3;1.3;81;Ветер
11.09.2020 18:00;27;757.7;759;-0.1;64;Ветер
11.09.2020 15:00;28.4;757.8;759.1;-0.1;60;Ветер
11.09.2020 12:00;28.2;757.9;759.1;0.3;59;Ветер
11.09.2020 09:00;27.1;757.6;758.9;0.1;52;Ветер
11.09.2020 06:00;19.8;757.5;758.8;-0.3;82;Штиль
11.09.2020 03:00;21;757.8;759.1;-0.2;80;Ветер
11.09.2020 00:00;20.7;758;759.4;-0.6;93;Ветер
10.09.2020 21:00;23.3;758.6;759.9;-0.6;85;Ветер
10.09.2020 18:00;25.4;759.2;760.5;-1.1;74;Ветер
10.09.2020 15:00;27;760.3;761.6;-1.1;71;Ветер
10.09.2020 12:00;27.5;761.4;762.7;-0.6;61;Ветер
10.09.2020 09:00;25.6;762;763.3;0.1;61;Ветер
10.09.2020 06:00;20;761.9;763.3;0;81;Ветер
10.09.2020 03:00;21;761.9;763.3;-0.2;84;Ветер
10.09.2020 00:00;21.7;762.1;763.3;0.2;86;Ветер
09.09.2020 21:00;23.2;761.9;763.2;0.3;84;Ветер
09.09.2020 18:00;26.2;761.6;762.9;-0.6;68;Ветер
09.09.2020 15:00;26.7;762.2;763.5;-0.2;69;Ветер
09.09.2020 12:00;26.3;762.4;763.7;0;66;Ветер
09.09.2020 09:00;26.1;762.4;763.6;-0.1;59;Ветер
09.09.2020 06:00;19.6;762.5;763.9;0.1;87;Ветер
09.09.2020 03:00;20.3;762.4;763.7;-0.3;89;Ветер
09.09.2020 00:00;20.8;762.7;764;0.1;91;Ветер
08.09.2020 21:00;23.6;762.6;763.9;0.9;81;Ветер
08.09.2020 18:00;25.8;761.7;763;-0.1;72;Ветер
08.09.2020 15:00;27;761.8;763.1;-0.2;67;Ветер
08.09.2020 12:00;26.7;762;763.3;0.3;68;Ветер
08.09.2020 09:00;25.6;761.7;763;0.3;62;Ветер
08.09.2020 06:00;19.3;761.4;762.1;0.5;86;Ветер
08.09.2020 03:00;20;760.9;762.2;-0.3;88;Ветер
08.09.2020 00:00;20.5;761.2;762.5;0.6;87;Ветер
07.09.2020 21:00;23.3;760.6;761.9;0;84;Ветер
07.09.2020 18:00;25.9;760.6;761.8;0;70;Ветер
07.09.2020 15:00;27.2;760.6;761.9;0.2;67;Ветер
07.09.2020 12:00;26.8;760.4;761.7;0.7;67;Ветер
07.09.2020 09:00;22.7;759.7;761;0.6;85;Ветер
07.09.2020 06:00;20.5;759.1;760.4;0.4;92;Ветер
07.09.2020 03:00;21;758.7;760;-0.2;84;Ветер
07.09.2020 00:00;22.4;758.9;760.2;0.3;79;Ветер
06.09.2020 21:00;22.8;758.6;759.9;0.4;81;Штиль
06.09.2020 18:00;25.3;758.2;759.4;0.8;68;Ветер
06.09.2020 15:00;26.9;757.4;758.7;0.4;63;Ветер
06.09.2020 12:00;26.9;757;758.3;0.6;60;Ветер
06.09.2020 09:00;24.7;756.4;757.6;0.2;69;Ветер
06.09.2020 06:00;21.2;756.2;757.5;-0.4;86;Штиль
06.09.2020 03:00;22.6;756.6;757.9;0.4;91;Ветер
06.09.2020 00:00;24;756.2;757.5;-0.3;94;Штиль
05.09.2020 21:00;25.5;756.5;757.8;0.7;85;Штиль
05.09.2020 18:00;26;755.8;757;-0.5;84;Ветер
05.09.2020 15:00;26.6;756.3;757.6;-0.1;80;Ветер
05.09.2020 12:00;28.8;756.4;757.6;0.2;71;Ветер
05.09.2020 09:00;28.8;756.2;757.5;0.1;57;Ветер
05.09.2020 06:00;23.8;756.1;757.4;0.4;61;Ветер
05.09.2020 03:00;24;755.7;757;0.2;60;Штиль
05.09.2020 00:00;25;755.5;756.8;-0.1;56;Ветер
04.09.2020 21:00;26;755.6;756.9;0;58;Штиль
04.09.2020 18:00;31.4;755.6;756.9;-0.9;42;Ветер
04.09.2020 15:00;32.4;756.5;757.8;-1.1;42;Ветер
04.09.2020 12:00;33.1;757.6;758.9;-0.7;33;Ветер
04.09.2020 09:00;30;758.3;759.6;-0.2;36;Ветер
04.09.2020 06:00;21.6;758.5;759.7;-0.7;74;Штиль
04.09.2020 03:00;23;759.2;760.5;-0.7;79;Ветер
04.09.2020 00:00;23.8;759.9;761.2;-0.7;88;Ветер
03.09.2020 21:00;24.8;760.6;761.9;0.6;90;Штиль
03.09.2020 18:00;27.6;760;761.3;-1.1;74;Ветер
03.09.2020 15:00;28.2;761.1;762.4;-0.4;76;Ветер
03.09.2020 12:00;28.2;761.5;762.8;0.3;70;Ветер
03.09.2020 09:00;27.7;761.2;762.5;0.7;54;Ветер
03.09.2020 06:00;20.7;760.5;761.8;-0.1;75;Ветер
03.09.2020 03:00;21.6;760.6;761.9;0.4;84;Ветер
03.09.2020 00:00;22.8;760.2;761.5;1;76;Ветер
02.09.2020 21:00;24.3;759.2;760.5;;72;Ветер
02.09.2020 18:00;27.7;757.3;758.6;0.7;60;Ветер
02.09.2020 15:00;27.8;756.6;757.9;0.4;55;Ветер
02.09.2020 12:00;28.5;756.2;757.5;-0.3;55;Ветер
02.09.2020 09:00;27.3;756.5;757.8;1.5;51;Ветер
02.09.2020 06:00;22;755;756.3;0.7;64;Ветер
02.09.2020 03:00;22.4;754.3;755.5;-0.1;69;Ветер
02.09.2020 00:00;22;754.4;755.7;0.6;82;Штиль
01.09.2020 21:00;23.6;753.8;755.1;0.4;78;Штиль
01.09.2020 18:00;27.2;753.4;754.7;-0.8;66;Ветер
01.09.2020 15:00;28.8;754.2;755.5;-0.7;53;Ветер
01.09.2020 12:00;29;754.9;756.1;-0.7;46;Ветер
01.09.2020 09:00;28.2;755.6;756.9;0;55;Штиль
01.09.2020 06:00;20.7;755.6;757;-0.4;77;Ветер
01.09.2020 03:00;21.4;756;757.3;-0.2;79;Ветер
01.09.2020 00:00;22.5;756.2;757.5;0;75;Ветер
31.08.2020 21:00;24.1;756.2;757.5;0.1;76;Ветер
31.08.2020 18:00;27.4;756.1;757.3;-0.8;67;Ветер
31.08.2020 15:00;29;756.9;758.2;-0.6;60;Ветер
31.08.2020 12:00;28.8;757.5;758.8;0;55;Ветер
31.08.2020 09:00;28.8;757.5;758.8;-0.1;55;Ветер
31.08.2020 06:00;19.7;757.6;759;-0.3;79;Штиль
31.08.2020 03:00;21.6;757.9;759.2;0;70;Ветер
31.08.2020 00:00;20.6;757.9;759.3;0.3;81;Штиль
30.08.2020 21:00;23.8;757.6;758.9;-0.2;82;Штиль
30.08.2020 18:00;27.6;757.8;759.1;-0.9;70;Ветер
30.08.2020 15:00;28.6;758.7;760;-0.8;57;Ветер
30.08.2020 12:00;27.8;759.5;760.8;-0.9;63;Ветер
30.08.2020 09:00;26.6;760.4;761.7;-0.2;57;Штиль
30.08.2020 06:00;19.7;760.6;761.9;-0.2;79;Ветер
30.08.2020 03:00;20.8;760.8;762.1;-0.1;85;Ветер
30.08.2020 00:00;21.9;760.9;762.1;0;86;Ветер
29.08.2020 21:00;24;760.9;762.1;0.1;83;Ветер
29.08.2020 18:00;26;760.8;762.1;-0.5;70;Ветер
29.08.2020 15:00;26.8;761.3;762.6;-0.4;64;Ветер
29.08.2020 12:00;26.6;761.7;763;0.1;64;Ветер
29.08.2020 09:00;25.8;761.6;762.9;0.6;59;Ветер
29.08.2020 06:00;19;761;762.4;0.6;83;Ветер
29.08.2020 03:00;19.4;760.4;761.8;0.4;87;Ветер
29.08.2020 00:00;20.8;760;761.3;0.5;84;Ветер
28.08.2020 21:00;22.8;759.5;760.8;0.7;76;Ветер
28.08.2020 18:00;25.5;758.8;760;0.4;64;Ветер
28.08.2020 15:00;25.9;758.4;759.7;0.2;62;Ветер
28.08.2020 12:00;26.4;758.2;759.5;0.1;61;Ветер
28.08.2020 09:00;25.6;758.1;759.4;0.4;65;Ветер
